gene	Sample_ID	compendium_version	rollup_cohort
STAG3L1	TH34_1150_S02	v8	lowstringency_pd_outliers
STAG3L2	TH34_1150_S02	v8	lowstringency_pd_outliers
STAG3L3	TH34_1150_S02	v8	lowstringency_pd_outliers
STON1	TH34_1150_S02	v8	lowstringency_pd_outliers
STRADA	TH34_1150_S02	v8	lowstringency_pd_outliers
TBKBP1	TH34_1150_S02	v8	lowstringency_pd_outliers
TCTEX1D1	TH34_1150_S02	v8	lowstringency_pd_outliers
TLK2	TH34_1150_S02	v8	lowstringency_pd_outliers
TMEM161B-AS1	TH34_1150_S02	v8	lowstringency_pd_outliers
TMEM164	TH34_1150_S02	v8	lowstringency_pd_outliers
TNRC6A	TH34_1150_S02	v8	lowstringency_pd_outliers
TTC21B	TH34_1150_S02	v8	lowstringency_pd_outliers
TUBB2B	TH34_1150_S02	v8	lowstringency_pd_outliers
USPL1	TH34_1150_S02	v8	lowstringency_pd_outliers
VEZF1	TH34_1150_S02	v8	lowstringency_pd_outliers
VSIG10	TH34_1150_S02	v8	lowstringency_pd_outliers
WSB1	TH34_1150_S02	v8	lowstringency_pd_outliers
Y_RNA	TH34_1150_S02	v8	lowstringency_pd_outliers
ZBED5	TH34_1150_S02	v8	lowstringency_pd_outliers
ZBTB1	TH34_1150_S02	v8	lowstringency_pd_outliers
ZBTB43	TH34_1150_S02	v8	lowstringency_pd_outliers
ZDHHC17	TH34_1150_S02	v8	lowstringency_pd_outliers
ZNF300P1	TH34_1150_S02	v8	lowstringency_pd_outliers
ZNF397	TH34_1150_S02	v8	lowstringency_pd_outliers
ZNF580	TH34_1150_S02	v8	lowstringency_pd_outliers
ABHD6	TH34_1162_S01	v7	lowstringency_pd_outliers
AC005943.6	TH34_1162_S01	v7	lowstringency_pd_outliers
ACACB	TH34_1162_S01	v7	lowstringency_pd_outliers
ACP5	TH34_1162_S01	v7	lowstringency_pd_outliers
ADGRG2	TH34_1162_S01	v7	lowstringency_pd_outliers
ADPGK	TH34_1162_S01	v7	lowstringency_pd_outliers
ALG9	TH34_1162_S01	v7	lowstringency_pd_outliers
AP1B1	TH34_1162_S01	v7	lowstringency_pd_outliers
AP2S1	TH34_1162_S01	v7	lowstringency_pd_outliers
AP4B1	TH34_1162_S01	v7	lowstringency_pd_outliers
APOC1	TH34_1162_S01	v7	lowstringency_pd_outliers
APOC4-APOC2	TH34_1162_S01	v7	lowstringency_pd_outliers
ARAP1	TH34_1162_S01	v7	lowstringency_pd_outliers
ARFRP1	TH34_1162_S01	v7	lowstringency_pd_outliers
ARHGAP17	TH34_1162_S01	v7	lowstringency_pd_outliers
ARRB2	TH34_1162_S01	v7	lowstringency_pd_outliers
ARTN	TH34_1162_S01	v7	lowstringency_pd_outliers
ASAH1	TH34_1162_S01	v7	lowstringency_pd_outliers
ASGR1	TH34_1162_S01	v7	lowstringency_pd_outliers
ATG16L2	TH34_1162_S01	v7	lowstringency_pd_outliers
ATP1A1	TH34_1162_S01	v7	lowstringency_pd_outliers
ATP5E	TH34_1162_S01	v7	lowstringency_pd_outliers
BLVRB	TH34_1162_S01	v7	lowstringency_pd_outliers
C1orf162	TH34_1162_S01	v7	lowstringency_pd_outliers
C1orf61	TH34_1162_S01	v7	lowstringency_pd_outliers
C2	TH34_1162_S01	v7	lowstringency_pd_outliers
CCDC171	TH34_1162_S01	v7	lowstringency_pd_outliers
CCK	TH34_1162_S01	v7	lowstringency_pd_outliers
CD14	TH34_1162_S01	v7	lowstringency_pd_outliers
CD163	TH34_1162_S01	v7	lowstringency_pd_outliers
CD37	TH34_1162_S01	v7	lowstringency_pd_outliers
CD52	TH34_1162_S01	v7	lowstringency_pd_outliers
CD53	TH34_1162_S01	v7	lowstringency_pd_outliers
CD68	TH34_1162_S01	v7	lowstringency_pd_outliers
CDH23	TH34_1162_S01	v7	lowstringency_pd_outliers
CDH24	TH34_1162_S01	v7	lowstringency_pd_outliers
CEACAM21	TH34_1162_S01	v7	lowstringency_pd_outliers
CEACAM6	TH34_1162_S01	v7	lowstringency_pd_outliers
CECR1	TH34_1162_S01	v7	lowstringency_pd_outliers
CES1	TH34_1162_S01	v7	lowstringency_pd_outliers
CFD	TH34_1162_S01	v7	lowstringency_pd_outliers
CMTM3	TH34_1162_S01	v7	lowstringency_pd_outliers
COG7	TH34_1162_S01	v7	lowstringency_pd_outliers
COL9A3	TH34_1162_S01	v7	lowstringency_pd_outliers
CORO1A	TH34_1162_S01	v7	lowstringency_pd_outliers
CORO7	TH34_1162_S01	v7	lowstringency_pd_outliers
CREG1	TH34_1162_S01	v7	lowstringency_pd_outliers
CSF1R	TH34_1162_S01	v7	lowstringency_pd_outliers
CSF3R	TH34_1162_S01	v7	lowstringency_pd_outliers
CSTB	TH34_1162_S01	v7	lowstringency_pd_outliers
CTC-575D19.1	TH34_1162_S01	v7	lowstringency_pd_outliers
CTSA	TH34_1162_S01	v7	lowstringency_pd_outliers
CTSB	TH34_1162_S01	v7	lowstringency_pd_outliers
CTSD	TH34_1162_S01	v7	lowstringency_pd_outliers
CTSL	TH34_1162_S01	v7	lowstringency_pd_outliers
CTSS	TH34_1162_S01	v7	lowstringency_pd_outliers
CTSZ	TH34_1162_S01	v7	lowstringency_pd_outliers
CYP1B1	TH34_1162_S01	v7	lowstringency_pd_outliers
CYP26B1	TH34_1162_S01	v7	lowstringency_pd_outliers
CYP4F22	TH34_1162_S01	v7	lowstringency_pd_outliers
D2HGDH	TH34_1162_S01	v7	lowstringency_pd_outliers
DAPK1	TH34_1162_S01	v7	lowstringency_pd_outliers
DCHS2	TH34_1162_S01	v7	lowstringency_pd_outliers
DLG2	TH34_1162_S01	v7	lowstringency_pd_outliers
DUOX2	TH34_1162_S01	v7	lowstringency_pd_outliers
DUOXA2	TH34_1162_S01	v7	lowstringency_pd_outliers
FABP4	TH34_1162_S01	v7	lowstringency_pd_outliers
FAM118A	TH34_1162_S01	v7	lowstringency_pd_outliers
FAM156B	TH34_1162_S01	v7	lowstringency_pd_outliers
FAM65C	TH34_1162_S01	v7	lowstringency_pd_outliers
FAM96A	TH34_1162_S01	v7	lowstringency_pd_outliers
FANCA	TH34_1162_S01	v7	lowstringency_pd_outliers
FCER1G	TH34_1162_S01	v7	lowstringency_pd_outliers
FCGRT	TH34_1162_S01	v7	lowstringency_pd_outliers
FEZF1-AS1	TH34_1162_S01	v7	lowstringency_pd_outliers
FPR3	TH34_1162_S01	v7	lowstringency_pd_outliers
FREM1	TH34_1162_S01	v7	lowstringency_pd_outliers
FRG2FP	TH34_1162_S01	v7	lowstringency_pd_outliers
FTL	TH34_1162_S01	v7	lowstringency_pd_outliers
FUCA1	TH34_1162_S01	v7	lowstringency_pd_outliers
GLCE	TH34_1162_S01	v7	lowstringency_pd_outliers
GLG1	TH34_1162_S01	v7	lowstringency_pd_outliers
GLUL	TH34_1162_S01	v7	lowstringency_pd_outliers
GM2A	TH34_1162_S01	v7	lowstringency_pd_outliers
GMFG	TH34_1162_S01	v7	lowstringency_pd_outliers
GNG10	TH34_1162_S01	v7	lowstringency_pd_outliers
GNPDA1	TH34_1162_S01	v7	lowstringency_pd_outliers
GPNMB	TH34_1162_S01	v7	lowstringency_pd_outliers
GPR108	TH34_1162_S01	v7	lowstringency_pd_outliers
GPX1	TH34_1162_S01	v7	lowstringency_pd_outliers
GRN	TH34_1162_S01	v7	lowstringency_pd_outliers
GRP	TH34_1162_S01	v7	lowstringency_pd_outliers
HAP1	TH34_1162_S01	v7	lowstringency_pd_outliers
HCST	TH34_1162_S01	v7	lowstringency_pd_outliers
HEXA	TH34_1162_S01	v7	lowstringency_pd_outliers
HLA-DMA	TH34_1162_S01	v7	lowstringency_pd_outliers
HLA-DMB	TH34_1162_S01	v7	lowstringency_pd_outliers
HMOX1	TH34_1162_S01	v7	lowstringency_pd_outliers
HOXD10	TH34_1162_S01	v7	lowstringency_pd_outliers
HOXD11	TH34_1162_S01	v7	lowstringency_pd_outliers
HOXD9	TH34_1162_S01	v7	lowstringency_pd_outliers
IFI30	TH34_1162_S01	v7	lowstringency_pd_outliers
IL10RA	TH34_1162_S01	v7	lowstringency_pd_outliers
IL24	TH34_1162_S01	v7	lowstringency_pd_outliers
ITGAX	TH34_1162_S01	v7	lowstringency_pd_outliers
ITM2A	TH34_1162_S01	v7	lowstringency_pd_outliers
JAK1	TH34_1162_S01	v7	lowstringency_pd_outliers
KCNE3	TH34_1162_S01	v7	lowstringency_pd_outliers
KDSR	TH34_1162_S01	v7	lowstringency_pd_outliers
KIAA1456	TH34_1162_S01	v7	lowstringency_pd_outliers
KMO	TH34_1162_S01	v7	lowstringency_pd_outliers
LAIR1	TH34_1162_S01	v7	lowstringency_pd_outliers
LAMTOR4	TH34_1162_S01	v7	lowstringency_pd_outliers
LAPTM5	TH34_1162_S01	v7	lowstringency_pd_outliers
LGALS9	TH34_1162_S01	v7	lowstringency_pd_outliers
LGMN	TH34_1162_S01	v7	lowstringency_pd_outliers
LILRB4	TH34_1162_S01	v7	lowstringency_pd_outliers
LIPA	TH34_1162_S01	v7	lowstringency_pd_outliers
LIPI	TH34_1162_S01	v7	lowstringency_pd_outliers
LL21NC02-1C16.2	TH34_1162_S01	v7	lowstringency_pd_outliers
LONRF1	TH34_1162_S01	v7	lowstringency_pd_outliers
LOXHD1	TH34_1162_S01	v7	lowstringency_pd_outliers
LRCH4	TH34_1162_S01	v7	lowstringency_pd_outliers
LST1	TH34_1162_S01	v7	lowstringency_pd_outliers
MAN2B1	TH34_1162_S01	v7	lowstringency_pd_outliers
MCOLN1	TH34_1162_S01	v7	lowstringency_pd_outliers
MFSD1	TH34_1162_S01	v7	lowstringency_pd_outliers
MGAT1	TH34_1162_S01	v7	lowstringency_pd_outliers
MIER2	TH34_1162_S01	v7	lowstringency_pd_outliers
MPP1	TH34_1162_S01	v7	lowstringency_pd_outliers
MS4A4A	TH34_1162_S01	v7	lowstringency_pd_outliers
MS4A6A	TH34_1162_S01	v7	lowstringency_pd_outliers
MS4A7	TH34_1162_S01	v7	lowstringency_pd_outliers
MSR1	TH34_1162_S01	v7	lowstringency_pd_outliers
MYO9B	TH34_1162_S01	v7	lowstringency_pd_outliers
NAGK	TH34_1162_S01	v7	lowstringency_pd_outliers
NEUROD6	TH34_1162_S01	v7	lowstringency_pd_outliers
NKX2-2	TH34_1162_S01	v7	lowstringency_pd_outliers
NPC2	TH34_1162_S01	v7	lowstringency_pd_outliers
NPL	TH34_1162_S01	v7	lowstringency_pd_outliers
NPW	TH34_1162_S01	v7	lowstringency_pd_outliers
NR0B1	TH34_1162_S01	v7	lowstringency_pd_outliers
NRD1	TH34_1162_S01	v7	lowstringency_pd_outliers
ODF2L	TH34_1162_S01	v7	lowstringency_pd_outliers
P3H1	TH34_1162_S01	v7	lowstringency_pd_outliers
PARL	TH34_1162_S01	v7	lowstringency_pd_outliers
PAX7	TH34_1162_S01	v7	lowstringency_pd_outliers
PHKA2	TH34_1162_S01	v7	lowstringency_pd_outliers
PKP1	TH34_1162_S01	v7	lowstringency_pd_outliers
PLA2G15	TH34_1162_S01	v7	lowstringency_pd_outliers
PLAUR	TH34_1162_S01	v7	lowstringency_pd_outliers
PLD3	TH34_1162_S01	v7	lowstringency_pd_outliers
PLIN2	TH34_1162_S01	v7	lowstringency_pd_outliers
PPT1	TH34_1162_S01	v7	lowstringency_pd_outliers
PRKCB	TH34_1162_S01	v7	lowstringency_pd_outliers
PRND	TH34_1162_S01	v7	lowstringency_pd_outliers
PRRT4	TH34_1162_S01	v7	lowstringency_pd_outliers
PRSS35	TH34_1162_S01	v7	lowstringency_pd_outliers
PSAP	TH34_1162_S01	v7	lowstringency_pd_outliers
PTPN13	TH34_1162_S01	v7	lowstringency_pd_outliers
RASAL3	TH34_1162_S01	v7	lowstringency_pd_outliers
RBM11	TH34_1162_S01	v7	lowstringency_pd_outliers
RHOG	TH34_1162_S01	v7	lowstringency_pd_outliers
RNASE1	TH34_1162_S01	v7	lowstringency_pd_outliers
RNASE6	TH34_1162_S01	v7	lowstringency_pd_outliers
RNF130	TH34_1162_S01	v7	lowstringency_pd_outliers
RNPEPL1	TH34_1162_S01	v7	lowstringency_pd_outliers
RP11-1258F18.1	TH34_1162_S01	v7	lowstringency_pd_outliers
RP11-343H5.4	TH34_1162_S01	v7	lowstringency_pd_outliers
RP11-671J11.5	TH34_1162_S01	v7	lowstringency_pd_outliers
RP11-734K23.9	TH34_1162_S01	v7	lowstringency_pd_outliers
RP13-77O11.8	TH34_1162_S01	v7	lowstringency_pd_outliers
RP4-765C7.2	TH34_1162_S01	v7	lowstringency_pd_outliers
SAMHD1	TH34_1162_S01	v7	lowstringency_pd_outliers
SAT1	TH34_1162_S01	v7	lowstringency_pd_outliers
SCNN1G	TH34_1162_S01	v7	lowstringency_pd_outliers
SH3BGRL3	TH34_1162_S01	v7	lowstringency_pd_outliers
SHANK1	TH34_1162_S01	v7	lowstringency_pd_outliers
SIGLEC1	TH34_1162_S01	v7	lowstringency_pd_outliers
SIM2	TH34_1162_S01	v7	lowstringency_pd_outliers
SIPA1	TH34_1162_S01	v7	lowstringency_pd_outliers
SLC15A3	TH34_1162_S01	v7	lowstringency_pd_outliers
SLC17A8	TH34_1162_S01	v7	lowstringency_pd_outliers
SLC38A4	TH34_1162_S01	v7	lowstringency_pd_outliers
SLC7A7	TH34_1162_S01	v7	lowstringency_pd_outliers
SNX18	TH34_1162_S01	v7	lowstringency_pd_outliers
SPI1	TH34_1162_S01	v7	lowstringency_pd_outliers
SPP1	TH34_1162_S01	v7	lowstringency_pd_outliers
SRSF6	TH34_1162_S01	v7	lowstringency_pd_outliers
STAB1	TH34_1162_S01	v7	lowstringency_pd_outliers
SYNPR	TH34_1162_S01	v7	lowstringency_pd_outliers
TAF6L	TH34_1162_S01	v7	lowstringency_pd_outliers
TCIRG1	TH34_1162_S01	v7	lowstringency_pd_outliers
TIAL1	TH34_1162_S01	v7	lowstringency_pd_outliers
TMEM91	TH34_1162_S01	v7	lowstringency_pd_outliers
TNFAIP2	TH34_1162_S01	v7	lowstringency_pd_outliers
TRAPPC5	TH34_1162_S01	v7	lowstringency_pd_outliers
TRAV1-2	TH34_1162_S01	v7	lowstringency_pd_outliers
TREM2	TH34_1162_S01	v7	lowstringency_pd_outliers
TRPM4	TH34_1162_S01	v7	lowstringency_pd_outliers
TSPAN8	TH34_1162_S01	v7	lowstringency_pd_outliers
TYROBP	TH34_1162_S01	v7	lowstringency_pd_outliers
UACA	TH34_1162_S01	v7	lowstringency_pd_outliers
UBXN11	TH34_1162_S01	v7	lowstringency_pd_outliers
UGT3A2	TH34_1162_S01	v7	lowstringency_pd_outliers
VAMP8	TH34_1162_S01	v7	lowstringency_pd_outliers
XAGE1A	TH34_1162_S01	v7	lowstringency_pd_outliers
XAGE1B	TH34_1162_S01	v7	lowstringency_pd_outliers
XG	TH34_1162_S01	v7	lowstringency_pd_outliers
ZC3H13	TH34_1162_S01	v7	lowstringency_pd_outliers
ZDHHC3	TH34_1162_S01	v7	lowstringency_pd_outliers
ZNF276	TH34_1162_S01	v7	lowstringency_pd_outliers
AC005062.2	TH34_1163_S01	v7	lowstringency_pd_outliers
AC079781.5	TH34_1163_S01	v7	lowstringency_pd_outliers
ADH1C	TH34_1163_S01	v7	lowstringency_pd_outliers
ADM	TH34_1163_S01	v7	lowstringency_pd_outliers
ALG5	TH34_1163_S01	v7	lowstringency_pd_outliers
AP001065.15	TH34_1163_S01	v7	lowstringency_pd_outliers
ARGLU1	TH34_1163_S01	v7	lowstringency_pd_outliers
BBS2	TH34_1163_S01	v7	lowstringency_pd_outliers
CARKD	TH34_1163_S01	v7	lowstringency_pd_outliers
CDC16	TH34_1163_S01	v7	lowstringency_pd_outliers
CFDP1	TH34_1163_S01	v7	lowstringency_pd_outliers
CHURC1	TH34_1163_S01	v7	lowstringency_pd_outliers
CNRIP1	TH34_1163_S01	v7	lowstringency_pd_outliers
CRYZL1	TH34_1163_S01	v7	lowstringency_pd_outliers
CSAG1	TH34_1163_S01	v7	lowstringency_pd_outliers
