gene	Sample_ID	compendium_version	rollup_cohort
BTAF1	TH34_1150_S02	v8	pancancer
C1QL2	TH34_1150_S02	v8	pancancer
C3orf17	TH34_1150_S02	v8	pancancer
CACNA2D1	TH34_1150_S02	v8	pancancer
CACNB2	TH34_1150_S02	v8	pancancer
CALCA	TH34_1150_S02	v8	pancancer
CALCB	TH34_1150_S02	v8	pancancer
CAMK1G	TH34_1150_S02	v8	pancancer
CAPRIN1	TH34_1150_S02	v8	pancancer
CBFA2T2	TH34_1150_S02	v8	pancancer
CCDC14	TH34_1150_S02	v8	pancancer
CCDC171	TH34_1150_S02	v8	pancancer
CCDC90B	TH34_1150_S02	v8	pancancer
CCER2	TH34_1150_S02	v8	pancancer
CD99	TH34_1150_S02	v8	pancancer
CD99P1	TH34_1150_S02	v8	pancancer
CDC37L1	TH34_1150_S02	v8	pancancer
CDC40	TH34_1150_S02	v8	pancancer
CDK13	TH34_1150_S02	v8	pancancer
CEP57	TH34_1150_S02	v8	pancancer
CEP95	TH34_1150_S02	v8	pancancer
CES4A	TH34_1150_S02	v8	pancancer
CHD3	TH34_1150_S02	v8	pancancer
CHD9	TH34_1150_S02	v8	pancancer
CHN2	TH34_1150_S02	v8	pancancer
CIC	TH34_1150_S02	v8	pancancer
CLASP2	TH34_1150_S02	v8	pancancer
CLEC11A	TH34_1150_S02	v8	pancancer
CLVS2	TH34_1150_S02	v8	pancancer
CNTFR	TH34_1150_S02	v8	pancancer
CPEB2	TH34_1150_S02	v8	pancancer
CPNE7	TH34_1150_S02	v8	pancancer
CRHR1-IT1	TH34_1150_S02	v8	pancancer
CSAD	TH34_1150_S02	v8	pancancer
CTA-228A9.3	TH34_1150_S02	v8	pancancer
CTD-2270P14.1	TH34_1150_S02	v8	pancancer
CYP26B1	TH34_1150_S02	v8	pancancer
CYP4F22	TH34_1150_S02	v8	pancancer
D2HGDH	TH34_1150_S02	v8	pancancer
DAAM2	TH34_1150_S02	v8	pancancer
DDX17	TH34_1150_S02	v8	pancancer
DDX42	TH34_1150_S02	v8	pancancer
DFNB31	TH34_1150_S02	v8	pancancer
DKK2	TH34_1150_S02	v8	pancancer
DLG2	TH34_1150_S02	v8	pancancer
DMTF1	TH34_1150_S02	v8	pancancer
DNER	TH34_1150_S02	v8	pancancer
DUX4L50	TH34_1150_S02	v8	pancancer
ECE2	TH34_1150_S02	v8	pancancer
ELF2	TH34_1150_S02	v8	pancancer
EOGT	TH34_1150_S02	v8	pancancer
EPB41	TH34_1150_S02	v8	pancancer
EPC1	TH34_1150_S02	v8	pancancer
EPHA4	TH34_1150_S02	v8	pancancer
ERF	TH34_1150_S02	v8	pancancer
EXOC6B	TH34_1150_S02	v8	pancancer
FAM156A	TH34_1150_S02	v8	pancancer
FAM156B	TH34_1150_S02	v8	pancancer
FAM175A	TH34_1150_S02	v8	pancancer
FAM19A5	TH34_1150_S02	v8	pancancer
FAM219B	TH34_1150_S02	v8	pancancer
FAM46A	TH34_1150_S02	v8	pancancer
FAM65C	TH34_1150_S02	v8	pancancer
FAT4	TH34_1150_S02	v8	pancancer
FCGRT	TH34_1150_S02	v8	pancancer
FEZF1	TH34_1150_S02	v8	pancancer
FEZF1-AS1	TH34_1150_S02	v8	pancancer
FLRT2	TH34_1150_S02	v8	pancancer
FNBP4	TH34_1150_S02	v8	pancancer
FRZB	TH34_1150_S02	v8	pancancer
FUBP1	TH34_1150_S02	v8	pancancer
G0S2	TH34_1150_S02	v8	pancancer
GABPB1-AS1	TH34_1150_S02	v8	pancancer
GAS1	TH34_1150_S02	v8	pancancer
GIGYF1	TH34_1150_S02	v8	pancancer
GLG1	TH34_1150_S02	v8	pancancer
GOLGA8N	TH34_1150_S02	v8	pancancer
GPR174	TH34_1150_S02	v8	pancancer
GRK5	TH34_1150_S02	v8	pancancer
GRM2	TH34_1150_S02	v8	pancancer
GSTM5	TH34_1150_S02	v8	pancancer
HERC4	TH34_1150_S02	v8	pancancer
HHIP-AS1	TH34_1150_S02	v8	pancancer
HIPK1	TH34_1150_S02	v8	pancancer
HMCN1	TH34_1150_S02	v8	pancancer
HNRNPDL	TH34_1150_S02	v8	pancancer
HNRNPH1	TH34_1150_S02	v8	pancancer
HNRNPU-AS1	TH34_1150_S02	v8	pancancer
HOOK1	TH34_1150_S02	v8	pancancer
HOXB13	TH34_1150_S02	v8	pancancer
HOXB8	TH34_1150_S02	v8	pancancer
HS3ST4	TH34_1150_S02	v8	pancancer
IGF2BP1	TH34_1150_S02	v8	pancancer
IGLON5	TH34_1150_S02	v8	pancancer
IPO5	TH34_1150_S02	v8	pancancer
IRS1	TH34_1150_S02	v8	pancancer
ITM2A	TH34_1150_S02	v8	pancancer
IVNS1ABP	TH34_1150_S02	v8	pancancer
JAK1	TH34_1150_S02	v8	pancancer
JAKMIP2	TH34_1150_S02	v8	pancancer
JPH1	TH34_1150_S02	v8	pancancer
JPH4	TH34_1150_S02	v8	pancancer
KANSL1	TH34_1150_S02	v8	pancancer
KCNE4	TH34_1150_S02	v8	pancancer
KDSR	TH34_1150_S02	v8	pancancer
KIAA0895L	TH34_1150_S02	v8	pancancer
KIAA0907	TH34_1150_S02	v8	pancancer
KIAA1456	TH34_1150_S02	v8	pancancer
KMO	TH34_1150_S02	v8	pancancer
KSR1	TH34_1150_S02	v8	pancancer
LDB2	TH34_1150_S02	v8	pancancer
LECT1	TH34_1150_S02	v8	pancancer
LENG8	TH34_1150_S02	v8	pancancer
LETMD1	TH34_1150_S02	v8	pancancer
LINC00342	TH34_1150_S02	v8	pancancer
LINC00632	TH34_1150_S02	v8	pancancer
LINC01089	TH34_1150_S02	v8	pancancer
LINC01547	TH34_1150_S02	v8	pancancer
LINGO1	TH34_1150_S02	v8	pancancer
LIPI	TH34_1150_S02	v8	pancancer
LL21NC02-1C16.2	TH34_1150_S02	v8	pancancer
LMO2	TH34_1150_S02	v8	pancancer
LONRF1	TH34_1150_S02	v8	pancancer
LOXHD1	TH34_1150_S02	v8	pancancer
LRCH3	TH34_1150_S02	v8	pancancer
LRRC4C	TH34_1150_S02	v8	pancancer
LSAMP	TH34_1150_S02	v8	pancancer
LTA4H	TH34_1150_S02	v8	pancancer
LTBP4	TH34_1150_S02	v8	pancancer
LUC7L3	TH34_1150_S02	v8	pancancer
MAPT	TH34_1150_S02	v8	pancancer
MAPT-AS1	TH34_1150_S02	v8	pancancer
MAPT-IT1	TH34_1150_S02	v8	pancancer
MAT2A	TH34_1150_S02	v8	pancancer
MEG3	TH34_1150_S02	v8	pancancer
METTL3	TH34_1150_S02	v8	pancancer
MIS18BP1	TH34_1150_S02	v8	pancancer
MLC1	TH34_1150_S02	v8	pancancer
MOXD1	TH34_1150_S02	v8	pancancer
MRI1	TH34_1150_S02	v8	pancancer
MRPL22	TH34_1150_S02	v8	pancancer
MSL1	TH34_1150_S02	v8	pancancer
MYL5	TH34_1150_S02	v8	pancancer
NAPSA	TH34_1150_S02	v8	pancancer
NBPF3	TH34_1150_S02	v8	pancancer
NEIL1	TH34_1150_S02	v8	pancancer
NEU4	TH34_1150_S02	v8	pancancer
NKTR	TH34_1150_S02	v8	pancancer
NKX2-2	TH34_1150_S02	v8	pancancer
NPW	TH34_1150_S02	v8	pancancer
NPY	TH34_1150_S02	v8	pancancer
NPY1R	TH34_1150_S02	v8	pancancer
NPY5R	TH34_1150_S02	v8	pancancer
NR0B1	TH34_1150_S02	v8	pancancer
NRD1	TH34_1150_S02	v8	pancancer
OGN	TH34_1150_S02	v8	pancancer
OGT	TH34_1150_S02	v8	pancancer
OLFM3	TH34_1150_S02	v8	pancancer
ORAOV1	TH34_1150_S02	v8	pancancer
PAPPA	TH34_1150_S02	v8	pancancer
PAX3	TH34_1150_S02	v8	pancancer
PAX7	TH34_1150_S02	v8	pancancer
PAXBP1	TH34_1150_S02	v8	pancancer
