sample_id	gene	pc_up	pd_up	druggable	has_pathway_support
TH34_1150_S02	CIC	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	CLASP2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CLEC11A	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CLVS2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CNTFR	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CPEB2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CPNE7	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CRHR1-IT1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CSAD	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CTA-228A9.3	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CTD-2270P14.1	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	CYP26B1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	CYP4F22	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	D2HGDH	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	DAAM2	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	DDX17	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	DDX42	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	DFNB31	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	DKK2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	DLG2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	DMTF1	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	DNER	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	DUX4L50	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	ECE2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	ELF2	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	EOGT	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	EPB41	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	EPC1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	EPHA4	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	ERF	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	EXOC6B	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	FAM156A	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	FAM156B	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	FAM175A	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	FAM19A5	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	FAM219B	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	FAM46A	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	FAM65C	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	FAT4	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	FCGRT	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	FEZF1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	FEZF1-AS1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	FLRT2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	FNBP4	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	FRZB	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	FUBP1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	G0S2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	GABPB1-AS1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	GAS1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	GIGYF1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	GLG1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	GOLGA8N	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	GPR174	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	GRK5	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	GRM2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	GSTM5	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	HERC4	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	HHIP-AS1	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	HIPK1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	HMCN1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	HNRNPDL	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	HNRNPH1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	HNRNPU-AS1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	HOOK1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	HOXB13	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	HOXB8	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	HS3ST4	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	IGF2BP1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	IGLON5	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	IPO5	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	IRS1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	ITM2A	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	IVNS1ABP	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	JAK1	TRUE	FALSE	TRUE	FALSE
TH34_1150_S02	JAKMIP2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	JPH1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	JPH4	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	KANSL1	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	KCNE4	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	KDSR	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	KIAA0895L	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	KIAA0907	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	KIAA1456	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	KMO	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	KSR1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	LDB2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	LECT1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	LENG8	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	LETMD1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	LINC00342	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	LINC00632	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	LINC01089	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	LINC01547	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	LINGO1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	LIPI	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	LL21NC02-1C16.2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	LMO2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	LONRF1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	LOXHD1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	LRCH3	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	LRRC4C	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	LSAMP	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	LTA4H	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	LTBP4	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	LUC7L3	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	MAPT	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	MAPT-AS1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	MAPT-IT1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	MAT2A	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	MEG3	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	METTL3	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	MIS18BP1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	MLC1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	MOXD1	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	MRI1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	MRPL22	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	MSL1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	MYL5	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	NAPSA	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	NBPF3	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	NEIL1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	NEU4	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	NKTR	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	NKX2-2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	NPW	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	NPY	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	NPY1R	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	NPY5R	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	NR0B1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	NRD1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	OGN	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	OGT	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	OLFM3	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	ORAOV1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PAPPA	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PAX3	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PAX7	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PAXBP1	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	PCDH8	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PCF11	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PCMTD2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PCSK1	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	PCSK2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PDCD1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PDS5B	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PENK	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PGAP1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PHF21A	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PHKA2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PKP1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PLCXD1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PLEKHH2	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	PNISR	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PNN	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	POU3F1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	POU3F2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	POU4F2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PPAPDC2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PPFIA1	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	PPFIA3	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PPP2R2A	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PPWD1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PRDM2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PRKCB	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PROX1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PRPF39	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PRPH	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PRRT2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PRSS35	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PSD	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PSMA3-AS1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	PTPRR	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	R3HDM2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	RABGAP1	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	RASGEF1B	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	RBBP6	TRUE	TRUE	FALSE	FALSE
TH34_1150_S02	RBFOX2	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	RBM11	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	RBM25	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	RBM5	TRUE	FALSE	FALSE	FALSE
TH34_1150_S02	RBMX	TRUE	FALSE	FALSE	FALSE
