Sample_ID	comparison_cohort	gene	pathway_support	donor_ID	high_level_cohort	log2TPM1
TH34_1179_S01	TCGA	PTCH1	TRUE	TH34_1179	TCGA	6.042644
TH34_1238_S01	TCGA	BTK	TRUE	TH34_1238	TCGA	8.186065
TH34_1238_S01	TH03_TH34	BTK	TRUE	TH34_1238	TH03_TH34	8.186065
TH34_1238_S01	TCGA	CCND3	TRUE	TH34_1238	TCGA	8.186213
TH34_1238_S01	TCGA	CDK9	TRUE	TH34_1238	TCGA	6.733219
TH34_1238_S01	TCGA	MTOR	TRUE	TH34_1238	TCGA	5.799864
TH34_1238_S01	TH03_TH34	MTOR	TRUE	TH34_1238	TH03_TH34	5.799864
TH34_1238_S01	TCGA	PIK3CD	TRUE	TH34_1238	TCGA	6.276311
TH34_1238_S01	TH03_TH34	PIK3CD	TRUE	TH34_1238	TH03_TH34	6.276311
TH34_1238_S01	TCGA	RPTOR	TRUE	TH34_1238	TCGA	5.409391
TH34_1238_S01	TH03_TH34	RPTOR	TRUE	TH34_1238	TH03_TH34	5.409391
TH34_1239_S01	TCGA	BTK	TRUE	TH34_1239	TCGA	6.023699
TH34_1239_S01	TCGA	CCND3	TRUE	TH34_1239	TCGA	8.087887
TH34_1239_S01	TCGA	PIK3CD	TRUE	TH34_1239	TCGA	6.846493
TH34_1239_S01	TH03_TH34	PIK3CD	TRUE	TH34_1239	TH03_TH34	6.846493
TH34_1239_S01	TCGA	PIK3R5	TRUE	TH34_1239	TCGA	6.172327
TH34_1349_S01	TCGA	ETV1	FALSE	TH34_1349	TCGA	7.699954
TH34_1349_S01	TCGA	IGF2	TRUE	TH34_1349	TCGA	10.155995
TH34_1349_S01	TCGA	PTCH1	TRUE	TH34_1349	TCGA	5.49857
TH34_1349_S02	TCGA	ETV1	TRUE	TH34_1349	TCGA	8.254934
TH34_1349_S02	TCGA	IGF2	TRUE	TH34_1349	TCGA	9.468278
TH34_1349_S02	TCGA	PTCH1	TRUE	TH34_1349	TCGA	6.037821
TH34_1350_S01	TCGA	BTK	TRUE	TH34_1350	TCGA	6.173327
TH34_1350_S01	TCGA	PIK3CD	TRUE	TH34_1350	TCGA	5.647315
TH34_1350_S01	TCGA	PIK3R5	TRUE	TH34_1350	TCGA	5.976134
TH34_1351_S01	TCGA	MAP2K4	FALSE	TH34_1351	TCGA	5.965092
TH34_1351_S01	TH03_TH34	MAP2K4	FALSE	TH34_1351	TH03_TH34	5.965092
TH34_1352_S01	TCGA	FGFR1	TRUE	TH34_1352	TCGA	10.286061
TH34_1352_S01	TCGA	FGFR2	TRUE	TH34_1352	TCGA	7.988628
TH34_1352_S01	TCGA	IGF2	TRUE	TH34_1352	TCGA	10.871774
TH34_1352_S01	TCGA	PDGFRA	TRUE	TH34_1352	TCGA	7.312066
TH34_1379_S01	TCGA	HMOX1	TRUE	TH34_1379	TCGA	9.170276
TH34_1379_S01	TCGA	IGF2	TRUE	TH34_1379	TCGA	9.855242
